season_id,game_type_id,competition_id,group_id,category_base,category_label_raw,competition_label_raw,group_label_raw,has_calendario,has_clasificaciones,has_goleadores
21,2,24037796,24037862,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 39,True,True,True
21,2,24037796,24037830,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 40,True,True,True
21,2,24037796,24037831,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 41,True,True,True
21,2,24037796,24037829,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 42,True,True,True
21,2,24037796,24037835,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 43,True,True,True
21,2,24037796,24037832,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 44,True,True,True
21,2,24037796,24037861,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 45,True,True,True
21,2,24037796,24037834,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 46,True,True,True
21,2,24037796,24037833,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 47,True,True,True
21,2,24037796,24037836,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 48,True,True,True
21,2,24037796,24037837,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 49,True,True,True
21,2,24037796,24037838,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 50,True,True,True
21,2,24037796,24428964,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 51,True,True,True
21,2,24037796,24037842,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 52,True,True,True
21,2,24037796,24037858,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 53,True,True,True
21,2,24037796,24037839,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 54,True,True,True
21,2,24037796,24037840,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 55,True,True,True
21,2,24037796,24037841,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 56,True,True,True
21,2,24037796,24037843,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 57,True,True,True
21,2,24037796,24037846,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 58,True,True,True
21,2,24037796,24037844,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 59,True,True,True
21,2,24037796,24037845,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 60,True,True,True
21,2,24037796,24037871,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 61,True,True,True
21,2,24037796,24041707,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 62,True,True,True
21,2,24037796,24037848,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 63,True,True,True
21,2,24037796,24428867,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 64,True,True,True
21,2,24037796,24037859,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 65,True,True,True
21,2,24037796,24037857,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 66,True,True,True
21,2,24037796,24037850,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 67,True,True,True
21,2,24037796,24037852,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 68,True,True,True
21,2,24037796,24037851,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 69,True,True,True
21,2,24037796,24853175,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 70,True,True,True
21,2,24037796,24037854,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 71,True,True,True
21,2,24037796,24037807,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 72,True,True,True
21,2,24037796,24037856,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 73,True,True,True
21,2,26700860,26700901,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 1,True,True,True
21,2,26700860,26700902,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 2,True,True,True
21,2,26700860,26700903,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 3,True,True,True
21,2,26700860,26700925,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 4,True,True,True
21,2,26700860,26700926,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 5,True,True,True
21,2,26700860,26700927,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 6,True,True,True
21,2,26700860,26701069,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 7,True,True,True
21,2,26700860,26701087,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 8,True,True,True
21,2,26700860,26701066,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 9,True,True,True
21,2,26700860,26701088,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 10,True,True,True
21,2,26700860,26701321,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 11,True,True,True
21,2,26700860,26701096,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN 2ª FASE,ELIMINATORIA 12,True,True,True
21,2,26687908,26687909,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 1,True,True,True
21,2,26687908,26687910,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 2,True,True,True
21,2,26687908,26687911,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 3,True,True,True
21,2,26687908,26687912,BENJAMIN,PRIMERA BENJAMIN F7,T. CAMPEONES 1ª BENJAMIN F7 1ª FASE,TRIANGULAR 4,True,True,True
