team_id,club_id,source,source_url,scraped_at
21472599,1010,fichaclub_roster,https://www.rffm.es/fichaclub/1010,2026-08-19T06:45:27.049335+00:00
24025002,1010,fichaclub_roster,https://www.rffm.es/fichaclub/1010,2026-08-19T06:45:27.049335+00:00
26718390,1010,fichaclub_roster,https://www.rffm.es/fichaclub/1010,2026-08-19T06:45:27.049335+00:00
139,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
140,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
10642928,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
141,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
6816915,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
17140328,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
142,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
4915460,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
24025220,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
26741128,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
15280076,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
17140325,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
15280077,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
17140326,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
21427633,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
26743571,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
300513,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
15280075,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
144,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
145,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
24025221,1019,fichaclub_roster,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
