season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2025-2026,21,BENJAMIN,T. CAMPEONES PREF. BENJAMIN F7 FASE FINAL,26701382,FASE FINAL,26701384,FASE FINAL,,https://www.rffm.es/api/groups?competicion=26701382,2026-07-31T11:30:25.356034+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 1,24037864,Grupo 1,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:28.083712+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 2,24037797,Grupo 2,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:31.934254+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 3,24037799,Grupo 3,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:34.981631+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 4,25124235,Grupo 4,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:38.410609+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 5,24037800,Grupo 5,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:41.565043+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 6,24037801,Grupo 6,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:44.088189+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 7,24037802,Grupo 7,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:47.229992+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 8,24037803,Grupo 8,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:49.692286+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 9,24037805,Grupo 9,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:52.591189+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 10,24037855,Grupo 10,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:55.702296+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 11,24037866,Grupo 11,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:30:59.057649+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 12,24037815,Grupo 12,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:02.665635+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 13,24037818,Grupo 13,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:05.774763+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 14,24853131,Grupo 14,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:09.497198+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 15,24037809,Grupo 15,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:12.570312+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 16,24037808,Grupo 16,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:15.760818+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 17,24428135,Grupo 17,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:18.290114+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 18,24037812,Grupo 18,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:21.397395+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 19,24037810,Grupo 19,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:24.376884+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 20,24037811,Grupo 20,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:27.827877+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 21,24037813,Grupo 21,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:30.790751+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 22,24037804,Grupo 22,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:33.898709+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 23,24037867,Grupo 23,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:37.227730+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 24,24037814,Grupo 24,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:40.501530+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 25,24037816,Grupo 25,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:43.798153+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 26,24037819,Grupo 26,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:47.059345+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 27,24125445,Grupo 27,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:50.176562+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 28,24037824,Grupo 28,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:53.378227+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 29,24037869,Grupo 29,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:31:57.649625+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 30,24037822,Grupo 30,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:00.369526+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 31,24037870,Grupo 31,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:04.301511+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 32,24037868,Grupo 32,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:07.815443+00:00
2025-2026,21,BENJAMIN,PRIMERA BENJAMÍN F-7,24037796,Grupo 33,24037820,Grupo 33,,https://www.rffm.es/api/groups?competicion=24037796,2026-07-31T11:32:12.079368+00:00
