season,season_id,category_base,stage,status,targets_total,targets_completed,targets_failed,started_at,last_updated_at,completed_at,notes,gh_run_id,gh_run_branch
2022-2023,18,INFANTIL,fichajugador,complete,123504,123504,0,2026-08-07T16:03:30.927855+00:00,2026-08-07T16:03:31.529169+00:00,2026-08-07T16:03:31.526883+00:00,,31195004202,crawl/fichajugador-INFANTIL-2022-2023-20260807T160314Z
2022-2023,18,JUVENIL,fichajugador,complete,123504,123504,0,2026-08-07T17:16:34.663395+00:00,2026-08-07T17:16:35.158881+00:00,2026-08-07T17:16:35.156538+00:00,,31200908361,crawl/fichajugador-JUVENIL-2022-2023-20260807T171614Z
2022-2023,18,PREBENJAMIN,fichajugador,complete,123504,123504,0,2026-08-07T13:53:31.183168+00:00,2026-08-07T14:36:41.566827+00:00,2026-08-07T14:36:41.564209+00:00,,31183067446,crawl/fichajugador-PREBENJAMIN-2022-2023-20260807T135314Z
2022-2023,18,SENIOR,fichajugador,complete,123504,123504,0,2026-08-07T18:28:07.651432+00:00,2026-08-07T18:28:07.924862+00:00,2026-08-07T18:28:07.922891+00:00,,31206452446,crawl/fichajugador-SENIOR-2022-2023-20260807T182749Z
2022-2023,18,UNIVERSITARIO,fichajugador,complete,123504,123504,0,2026-08-07T19:23:03.591213+00:00,2026-08-07T19:23:03.952861+00:00,2026-08-07T19:23:03.950363+00:00,,31209227472,crawl/fichajugador-UNIVERSITARIO-2022-2023-20260807T192246Z
2022-2023,18,VETERANOS,fichajugador,complete,123504,123504,0,2026-08-07T18:47:47.186249+00:00,2026-08-07T18:47:47.815242+00:00,2026-08-07T18:47:47.812822+00:00,,31207965928,crawl/fichajugador-VETERANOS-2022-2023-20260807T184729Z
2023-2024,19,AFICIONADO,acta_partido,complete,9723,9723,0,2026-08-06T07:58:31.264466+00:00,2026-08-06T08:24:38.146655+00:00,2026-08-06T08:24:38.144184+00:00,,31082584612,crawl/acta_partido-AFICIONADO-2023-2024-20260806T075816Z
2023-2024,19,ALEVIN,acta_partido,complete,18838,18838,0,2026-08-06T04:17:11.203022+00:00,2026-08-06T05:07:14.482377+00:00,2026-08-06T05:07:14.480433+00:00,,31070588767,crawl/acta_partido-ALEVIN-2023-2024-20260806T041651Z
2023-2024,19,BENJAMIN,acta_partido,complete,15415,15415,0,2026-08-06T03:26:17.358426+00:00,2026-08-06T04:06:59.880863+00:00,2026-08-06T04:06:59.878476+00:00,,31068192021,crawl/acta_partido-BENJAMIN-2023-2024-20260806T032603Z
2023-2024,19,CADETE,acta_partido,complete,14862,14862,0,2026-08-06T06:14:22.059744+00:00,2026-08-06T06:55:29.336429+00:00,2026-08-06T06:55:29.334019+00:00,,31076310514,crawl/acta_partido-CADETE-2023-2024-20260806T061409Z
2023-2024,19,INFANTIL,acta_partido,complete,15293,15293,0,2026-08-06T05:22:09.181029+00:00,2026-08-06T06:02:52.705591+00:00,2026-08-06T06:02:52.703045+00:00,,31073453542,crawl/acta_partido-INFANTIL-2023-2024-20260806T052153Z
2023-2024,19,JUVENIL,acta_partido,complete,14173,14173,0,2026-08-06T07:07:53.531155+00:00,2026-08-06T07:45:42.334314+00:00,2026-08-06T07:45:42.331717+00:00,,31079332812,crawl/acta_partido-JUVENIL-2023-2024-20260806T070740Z
2023-2024,19,PREBENJAMIN,acta_partido,complete,8299,8299,0,2026-08-06T02:54:16.051051+00:00,2026-08-06T03:16:02.402374+00:00,2026-08-06T03:16:02.399894+00:00,,31066682666,crawl/acta_partido-PREBENJAMIN-2023-2024-20260806T025401Z
2023-2024,19,SENIOR,acta_partido,complete,156,156,0,2026-08-06T08:40:03.317864+00:00,2026-08-06T08:40:35.969608+00:00,2026-08-06T08:40:35.967708+00:00,,31085223617,crawl/acta_partido-SENIOR-2023-2024-20260806T083944Z
2023-2024,19,UNIVERSITARIO,acta_partido,complete,136,136,0,2026-08-06T09:06:07.624475+00:00,2026-08-06T09:06:34.168036+00:00,2026-08-06T09:06:34.165665+00:00,,31087188887,crawl/acta_partido-UNIVERSITARIO-2023-2024-20260806T090551Z
2023-2024,19,VETERANOS,acta_partido,complete,90,90,0,2026-08-06T08:53:01.349828+00:00,2026-08-06T08:53:20.112386+00:00,2026-08-06T08:53:20.110252+00:00,,31086284213,crawl/acta_partido-VETERANOS-2023-2024-20260806T085248Z
2023-2024,19,ALL,clubs,complete_with_failures,1319,1319,446,2026-08-06T02:40:31.176745+00:00,2026-08-06T02:43:58.070247+00:00,2026-08-06T02:43:58.068327+00:00,,31066043804,crawl/clubs--2023-2024-20260806T024017Z
2023-2024,19,ALL,core,complete,1187,1187,0,2026-08-05T00:33:40.631247+00:00,2026-08-05T00:43:05.826489+00:00,2026-08-05T00:43:05.824599+00:00,,30963584167,crawl/core--2023-2024-20260805T003326Z
2023-2024,19,AFICIONADO,fichajugador,complete,137136,137136,0,2026-08-07T01:24:51.639477+00:00,2026-08-07T01:24:51.804029+00:00,2026-08-07T01:24:51.801756+00:00,,31137567668,crawl/fichajugador-AFICIONADO-2023-2024-20260807T012436Z
2023-2024,19,ALEVIN,fichajugador,complete,137136,137136,0,2026-08-07T00:29:52.178674+00:00,2026-08-07T00:29:52.406742+00:00,2026-08-07T00:29:52.404356+00:00,,31134239761,crawl/fichajugador-ALEVIN-2023-2024-20260807T002935Z
2023-2024,19,BENJAMIN,fichajugador,complete,137136,137136,0,2026-08-07T00:12:17.949037+00:00,2026-08-07T00:12:31.511707+00:00,2026-08-07T00:12:31.508965+00:00,,31133349951,crawl/fichajugador-BENJAMIN-2023-2024-20260807T001200Z
2023-2024,19,CADETE,fichajugador,complete,137136,137136,0,2026-08-07T00:57:37.069985+00:00,2026-08-07T00:57:37.800311+00:00,2026-08-07T00:57:37.797977+00:00,,31136038976,crawl/fichajugador-CADETE-2023-2024-20260807T005719Z
2023-2024,19,INFANTIL,fichajugador,complete,137136,137136,0,2026-08-07T00:43:43.570625+00:00,2026-08-07T00:43:44.251546+00:00,2026-08-07T00:43:44.249238+00:00,,31135254364,crawl/fichajugador-INFANTIL-2023-2024-20260807T004324Z
2023-2024,19,JUVENIL,fichajugador,complete,137136,137136,0,2026-08-07T01:11:33.751583+00:00,2026-08-07T01:11:34.732585+00:00,2026-08-07T01:11:34.730249+00:00,,31136839876,crawl/fichajugador-JUVENIL-2023-2024-20260807T011118Z
2023-2024,19,PREBENJAMIN,fichajugador,complete_with_failures,137136,137136,2,2026-08-06T22:44:31.955155+00:00,2026-08-06T23:57:45.995064+00:00,2026-08-06T23:57:45.992539+00:00,,31129121956,crawl/fichajugador-PREBENJAMIN-2023-2024-20260806T224414Z
2023-2024,19,SENIOR,fichajugador,complete,137136,137136,0,2026-08-07T01:38:09.282293+00:00,2026-08-07T01:38:09.452600+00:00,2026-08-07T01:38:09.450294+00:00,,31138281885,crawl/fichajugador-SENIOR-2023-2024-20260807T013751Z
2023-2024,19,UNIVERSITARIO,fichajugador,complete,137136,137136,0,2026-08-07T02:05:24.558272+00:00,2026-08-07T02:05:24.910201+00:00,2026-08-07T02:05:24.907886+00:00,,31139754946,crawl/fichajugador-UNIVERSITARIO-2023-2024-20260807T020508Z
2023-2024,19,VETERANOS,fichajugador,complete,137136,137136,0,2026-08-07T01:51:53.469267+00:00,2026-08-07T01:51:53.582035+00:00,2026-08-07T01:51:53.579758+00:00,,31139019148,crawl/fichajugador-VETERANOS-2023-2024-20260807T015131Z
2024-2025,20,AFICIONADO,acta_partido,complete,10119,10119,0,2026-08-05T16:35:16.061092+00:00,2026-08-05T17:03:00.128884+00:00,2026-08-05T17:03:00.126489+00:00,,31025513530,crawl/acta_partido-AFICIONADO-2024-2025-20260805T163500Z
2024-2025,20,ALEVIN,acta_partido,complete,18891,18891,0,2026-08-04T02:32:36.133894+00:00,2026-08-04T04:17:13.453015+00:00,2026-08-04T04:17:13.450848+00:00,,,
2024-2025,20,BENJAMIN,acta_partido,complete,15335,15335,0,2026-08-05T12:18:15.037791+00:00,2026-08-05T13:00:09.709927+00:00,2026-08-05T13:00:09.707465+00:00,,31004731610,crawl/acta_partido-BENJAMIN-2024-2025-20260805T121801Z
2024-2025,20,CADETE,acta_partido,complete,17482,17482,0,2026-08-05T14:38:36.865912+00:00,2026-08-05T15:25:54.764773+00:00,2026-08-05T15:25:54.762362+00:00,,31015634689,crawl/acta_partido-CADETE-2024-2025-20260805T143822Z
2024-2025,20,DEBUTANTE,acta_partido,complete,1256,1256,0,2026-08-05T02:06:25.302075+00:00,2026-08-05T02:10:48.297573+00:00,2026-08-05T02:10:48.294529+00:00,,30968308359,crawl/acta_partido-DEBUTANTE-2024-2025-20260805T020611Z
2024-2025,20,INFANTIL,acta_partido,complete,17577,17577,0,2026-08-05T13:39:50.865180+00:00,2026-08-05T14:26:51.479576+00:00,2026-08-05T14:26:51.477206+00:00,,31010918983,crawl/acta_partido-INFANTIL-2024-2025-20260805T133936Z
2024-2025,20,JUVENIL,acta_partido,complete,15868,15868,0,2026-08-05T15:36:46.532266+00:00,2026-08-05T16:21:00.574479+00:00,2026-08-05T16:21:00.571990+00:00,,31020687861,crawl/acta_partido-JUVENIL-2024-2025-20260805T153632Z
2024-2025,20,PREBENJAMIN,acta_partido,complete,7638,7638,0,2026-08-05T13:09:40.822796+00:00,2026-08-05T13:30:29.299743+00:00,2026-08-05T13:30:29.297350+00:00,,31008544162,crawl/acta_partido-PREBENJAMIN-2024-2025-20260805T130925Z
2024-2025,20,SENIOR,acta_partido,complete,215,215,0,2026-08-05T17:15:09.773153+00:00,2026-08-05T17:15:47.701063+00:00,2026-08-05T17:15:47.698445+00:00,,31028652583,crawl/acta_partido-SENIOR-2024-2025-20260805T171455Z
2024-2025,20,UNIVERSITARIO,acta_partido,complete,179,179,0,2026-08-05T17:47:37.915213+00:00,2026-08-05T17:48:10.015995+00:00,2026-08-05T17:48:10.013760+00:00,,31031153542,crawl/acta_partido-UNIVERSITARIO-2024-2025-20260805T174722Z
2024-2025,20,VETERANOS,acta_partido,complete,89,89,0,2026-08-05T17:33:23.863449+00:00,2026-08-05T17:33:47.928182+00:00,2026-08-05T17:33:47.925950+00:00,,31030092231,crawl/acta_partido-VETERANOS-2024-2025-20260805T173308Z
2024-2025,20,ALL,clubs,complete_with_failures,1186,1186,365,2026-08-05T12:07:08.493597+00:00,2026-08-05T12:10:23.158988+00:00,2026-08-05T12:10:23.157029+00:00,,31003938786,crawl/clubs--2024-2025-20260805T120655Z
