club_name_raw,matches_real_total,seasons_count,seasons
UDMELIDAOLIMPIA,15,1,2025-2026
ATLETICO LEONES DE CASTILLA,14,1,2024-2025
C.F. CAMPO REAL 89,14,2,"2024-2025, 2025-2026"
CD DV7 MADRID,14,1,2025-2026
RECREATIVO SOTO DEL REAL C.F.,14,1,2024-2025
SPORTING LAS TABLAS,14,1,2024-2025
A.J.D.C. LA MANCHA,13,1,2024-2025
C.D. ESCOLAPIOS ALCALA,13,1,2024-2025
C.D. PEDREZUELA,13,1,2024-2025
C.D.B. BIS,13,1,2024-2025
CDE CIUDAD DE CUBAS DE LA SAGRA,13,1,2024-2025
S.A.D. IVERO,13,1,2024-2025
VALDEMORO CLUB DE FUTBOL,13,1,2024-2025
A.D. ORCASITAS,12,1,2024-2025
C.D. MAR ABIERTO,12,1,2024-2025
CDE BREATHESPORT,12,1,2024-2025
ESCUELA DEPORTIVA ALMUDENA,12,1,2024-2025
CAMARMA C.F.,11,1,2024-2025
ESC. FUT. A.V. LA CHIMENEA,11,1,2024-2025
CLUB ATLETICO TORRES,10,1,2024-2025
C.D. JUVENTUD LOS CARMENES,9,1,2024-2025
