club_name_raw,matches_total,seasons_count,seasons
E.D. MORATALAZ,111,3,"2023-2024, 2024-2025, 2025-2026"
C.D. COLONIA MOSCARDO,109,6,"2018-2019, 2019-2020, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
LA GAVIA C.F.,109,3,"2021-2022, 2022-2023, 2023-2024"
A.D. JUVENTUD CANARIO,108,5,"2019-2020, 2021-2022, 2023-2024, 2024-2025, 2025-2026"
CLUB ALAMEDA DE OSUNA,107,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
SECCION DEPORTIVA DEL POZO,107,5,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025"
U.D. SAN MARTIN DE LA VEGA,107,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
REAL MADRID C.F.,106,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. SP&AL SERRANILLOS,104,3,"2021-2022, 2022-2023, 2023-2024"
ADA TOLEDO OLIVOS CF,102,3,"2021-2022, 2022-2023, 2023-2024"
C.D. GOYA,102,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
DEPORTIVO CIEMPOZUELOS,102,3,"2023-2024, 2024-2025, 2025-2026"
C.F.D. FUTURO SAN FRANCISCO,101,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
CLUB ATLETICO TORRES,101,5,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025"
A.D. FUNDACION,98,6,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025"
A.D. GIGANTES,93,3,"2021-2022, 2022-2023, 2023-2024"
ESC.MUN.FUT. AGUILAS MORATALAZ,92,4,"2019-2020, 2021-2022, 2022-2023, 2023-2024"
SESEÑA C.F.,92,1,2021-2022
A.D. VILLAVERDE BAJO,89,4,"2019-2020, 2021-2022, 2022-2023, 2023-2024"
C.D. SEK EL CASTILLO,86,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D.Y.C. PINTO,83,4,"2021-2022, 2022-2023, 2024-2025, 2025-2026"
C.D. MIRASUR,82,4,"2019-2020, 2021-2022, 2023-2024, 2025-2026"
C.D. SPARTAC DE MANOTERAS,82,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. BETIS SAN ISIDRO,79,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. SAN FERNANDO,78,4,"2021-2022, 2022-2023, 2023-2024, 2025-2026"
A.D. OÑA SANCHINARRO,76,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DE FUTBOL SAN MARTIN DE LA VEGA,76,2,"2022-2023, 2023-2024"
ESCUELA DEPORTIVA ALMUDENA,76,4,"2021-2022, 2022-2023, 2023-2024, 2024-2025"
R.S.D. ALCALA S.A.D.,75,3,"2021-2022, 2022-2023, 2023-2024"
C.D. RAYO VELILLA,74,2,"2019-2020, 2021-2022"
S.A.D. FUNDACION C.D. LEGANES,74,1,2025-2026
C.D. MAR ABIERTO,73,4,"2021-2022, 2022-2023, 2023-2024, 2024-2025"
C.D.B. BIS,71,4,"2021-2022, 2022-2023, 2023-2024, 2024-2025"
U.D. MOSTOLES BALOMPIE,71,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DE FUTBOL DE VICALVARO,69,2,"2024-2025, 2025-2026"
CAMARMA C.F.,67,4,"2021-2022, 2022-2023, 2023-2024, 2024-2025"
C.D. NUEVO PUERTA BONITA DE CARABANCHEL,65,3,"2021-2022, 2022-2023, 2023-2024"
CDE TONI KROOS ACADEMY,63,2,"2024-2025, 2025-2026"
C.F. FUENLABRADA S.A.D.,62,3,"2021-2022, 2022-2023, 2023-2024"
A.J.D.C. LA MANCHA,61,3,"2022-2023, 2023-2024, 2024-2025"
NUEVO PINTO C.F.,61,2,"2024-2025, 2025-2026"
C.D.E. MONTE TABOR,60,3,"2021-2022, 2022-2023, 2023-2024"
CDE DR ACADEMY SPORT,60,2,"2023-2024, 2024-2025"
JUVENTUD SANSE,60,1,2025-2026
C.D. UNION ELIPA,58,3,"2019-2020, 2021-2022, 2022-2023"
A.D. ORCASITAS,55,3,"2021-2022, 2022-2023, 2024-2025"
C.D. SANTA EUGENIA 1976,55,3,"2019-2020, 2021-2022, 2022-2023"
ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,55,2,"2024-2025, 2025-2026"
ATLETICO DE PINTO,52,2,"2022-2023, 2023-2024"
C.D. UNION VALDEBERNARDO,52,2,"2024-2025, 2025-2026"
C.D. DUX INTERNACIONAL DE MADRID FOOTBALL ACADEMY VILLAVICIOSA DE ODON,50,3,"2023-2024, 2024-2025, 2025-2026"
A.D. ARGANDA C.F.,48,2,"2021-2022, 2025-2026"
ASOC.DEP. ATLETICO CONCILIO,48,2,"2019-2020, 2021-2022"
COLEGIO BRAINS,48,2,"2019-2020, 2021-2022"
C.D. SEK EL CASTILLO-U.C.J.C.,47,2,"2019-2020, 2021-2022"
C.D.B. CUBAS DE LA SAGRA F.C.,47,2,"2021-2022, 2022-2023"
C.D. PUERTA DE MADRID,46,3,"2023-2024, 2024-2025, 2025-2026"
AD A.TOLEDO OLIVOS C.F.,42,2,"2024-2025, 2025-2026"
C.D. JUVENTUD LOS CARMENES,42,2,"2023-2024, 2024-2025"
A.C.R. ATLETICO ALCOBENDAS,41,2,"2024-2025, 2025-2026"
C.D. ALZOLA-HALCONES,41,1,2022-2023
GREDOS SAN DIEGO-LAS ARTES,41,1,2025-2026
CDE ARROW SPORTS,40,1,2025-2026
CDE BREATHESPORT,40,2,"2023-2024, 2024-2025"
C. ATLETICO CONCILIO,39,2,"2022-2023, 2023-2024"
C.D. MARAZUELA LAS ROZAS,39,2,"2021-2022, 2022-2023"
C.D. MEJOREÑO,39,2,"2021-2022, 2022-2023"
CLUB ATLETICO DE MADRID S.A.D.,39,2,"2021-2022, 2022-2023"
ESCUELA DE FUTBOL CONCEPCION,39,2,"2021-2022, 2022-2023"
FUNDACION R.S.D. ALCALA,39,2,"2021-2022, 2022-2023"
C.D.E. AUPA-MENTEMA BOADILLA,38,2,"2021-2022, 2022-2023"
LA MORALEJA C.F. - SAN PATRICIO,38,2,"2024-2025, 2025-2026"
C.D. SANTIAGO APOSTOL VILLAVERDE,37,2,"2024-2025, 2025-2026"
U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,37,1,2025-2026
C.D.E. AUPA - MENTEMA BOADILLA,35,1,2025-2026
CLUB SECCION DEPORTIVA DEL POZO,35,1,2025-2026
C.D. BARAJAS,34,2,"2019-2020, 2021-2022"
JUVENTUD SANSE TRINITY COLLEGE,34,1,2025-2026
RECREATIVO CULTURAL NUEVO BERCIAL,34,2,"2024-2025, 2025-2026"
A.D. CHORRILLO DISTRITO VIII,32,1,2019-2020
C.D. ESCOLAPIOS ALCALA,32,2,"2023-2024, 2024-2025"
C.D. PEDREZUELA,32,2,"2023-2024, 2024-2025"
C.F. AGUILAS DEL LUCERO,31,2,"2024-2025, 2025-2026"
C.F. CAMPO REAL 89,31,2,"2024-2025, 2025-2026"
C.F. RAYO ENSANCHE,31,2,"2024-2025, 2025-2026"
CDE ACADEMIA FENIX,31,2,"2024-2025, 2025-2026"
MOSTOLES C.F.,29,2,"2019-2020, 2021-2022"
C.D. SERGIO PACHON Y ANTONIO LOPEZ EL NARANJO,28,1,2019-2020
A.D. SESEÑA BALOMPIE,26,1,2021-2022
C.D. LOS YEBENES-SAN BRUNO,26,1,2023-2024
C.D. NUMANCIA DE LA SAGRA,26,1,2021-2022
C.D.E. ESC. DEP. RIVER PLATE SESEÑA,26,1,2022-2023
C.D.E. POLIDEPORTIVO EL VISO DE SAN JUAN,26,1,2021-2022
C.F. TRIVAL VALDERAS ALCORCON,26,1,2021-2022
CD SP&AL SERRANILLOS,26,1,2021-2022
GREDOS SAN DIEGO,26,1,2018-2019
ALAMEDA DE OSUNA ESCUELAS DE F,24,1,2018-2019
ATLETICO VILLALBA,24,2,"2018-2019, 2019-2020"
ATLETICO MADRILEÑO C.F.,21,1,2022-2023
C.D. NEWMAN,21,1,2025-2026
C.D. UNION EUROPA SANSE,21,1,2025-2026
C.D.E. MADRID 2021,21,1,2022-2023
C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,21,1,2025-2026
F.C. VILLANUEVA DEL PARDILLO,21,1,2022-2023
FUNDACION ADF,21,1,2025-2026
GREDOS SAN DIEGO MORATALAZ,21,1,2025-2026
RECREATIVO SOTO DEL REAL C.F.,21,1,2024-2025
U.D. SAN LORENZO,21,1,2021-2022
CDE CIUDAD DE CUBAS DE LA SAGRA,20,1,2024-2025
LAS ROZAS C.F.,20,1,2018-2019
SPORTING LAS TABLAS,20,1,2024-2025
C.D. CARRANZA,18,1,2025-2026
C.D. FORTUNA,18,1,2025-2026
C.D. MECO,18,1,2021-2022
C.D. SANFER19,18,1,2021-2022
CDE KROMEX-FERILAN,18,1,2025-2026
CDE PINTO ACADEMY FC,18,1,2025-2026
CDE VALMES C.F.,18,1,2025-2026
CLUB CIUDAD HENARES,18,1,2021-2022
CLUB ESCUELA DE FUTBOL CONCEPCION,18,1,2025-2026
E.M.F. MORALEJA DE ENMEDIO,18,1,2025-2026
LA MUTUAL JUAN XXIII,18,1,2021-2022
U.D.ARROYOFRESNO,18,1,2023-2024
UDMELIDAOLIMPIA,18,1,2025-2026
ATLETICO LEONES DE CASTILLA,17,1,2024-2025
S.A.D. IVERO,17,1,2024-2025
TORRELODONES C.F.,17,1,2024-2025
ARGANDA UNION DEPORTIVA,16,1,2019-2020
C.D. CHAMBERI,16,1,2019-2020
C.D. SAN VIATOR,16,1,2019-2020
C.D. SPORTING LAGUNA,16,1,2019-2020
C.D. TRIVEMA NAVAL,16,1,2019-2020
GREDOS SAN DIEGO-MORATALAZ,16,1,2019-2020
UNION DEPORTIVA ARROYOFRESNO,16,1,2019-2020
ASOCIACION DEP. CULT. SANFER,14,1,2018-2019
CD DV7 MADRID,14,1,2025-2026
U.D.SAN SEBASTIAN DE LOS REYES,14,1,2018-2019
AULA C.F.,12,1,2018-2019
C.D. SAN AGUSTIN LOS NEGRALES,12,1,2019-2020
CLUB UNION COLLADO VILLALBA-PECUNPAY,12,1,2019-2020
GREDOS SAN DIEGO-GUADARRAMA,12,1,2019-2020
MORALZARZAL C.F.,12,1,2018-2019
UNION COLLADO VILLALBA,12,1,2018-2019
C.D. SANTA MARIA CARIDAD,8,1,2018-2019
LAS ROZAS C.F.-NUICON-ASUMAN,8,1,2019-2020
