page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
goleadores,17145682,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145682&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145682.html
calendario,17145683,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145683&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145683.html
clasificaciones,17145683,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145683&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145683.html
goleadores,17145683,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145683&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145683.html
calendario,17145684,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145684&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145684.html
clasificaciones,17145684,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145684&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145684.html
goleadores,17145684,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145684&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145684.html
calendario,17145685,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145685&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145685.html
clasificaciones,17145685,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145685&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145685.html
goleadores,17145685,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145685&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145685.html
calendario,17145686,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145686&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145686.html
clasificaciones,17145686,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145686&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145686.html
goleadores,17145686,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145686&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145686.html
calendario,17145687,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145687&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145687.html
clasificaciones,17145687,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145687&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145687.html
goleadores,17145687,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145687&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145687.html
calendario,17145688,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145688&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145688.html
clasificaciones,17145688,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145688&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145688.html
goleadores,17145688,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145688&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145688.html
calendario,17145689,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145689&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145689.html
clasificaciones,17145689,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145689&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145689.html
goleadores,17145689,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145689&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145689.html
calendario,17145690,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145690&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145690.html
clasificaciones,17145690,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145690&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145690.html
goleadores,17145690,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145690&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145690.html
calendario,17145691,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145691.html
clasificaciones,17145691,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145691.html
goleadores,17145691,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145691.html
