player_id,season,season_id,competition_id,competition,group_id,group,team_id,team,club_name_raw,team_position,team_points,source_url,scraped_at
10005381,2023-2024,19,17145446,SEGUNDA JUVENIL,17145469,Grupo 16,12231099,RIVAS FUTBOL CLUB 'D',RIVAS FUTBOL CLUB,2,68,https://www.rffm.es/fichajugador/10005381?temporada=19,2026-08-06T09:19:51.547201+00:00
10006021,2023-2024,19,17145808,SEGUNDA ALEVIN F-7,17145820,GRUPO 12,10629162,CAMARMA C.F. ,CAMARMA C.F.,3,52,https://www.rffm.es/fichajugador/10006021?temporada=19,2026-08-06T09:19:51.697935+00:00
10006394,2023-2024,19,17145479,PREFERENTE CADETE,17145482,Grupo 4,1282,A.D. JUVENTUD TORREJON 'A',A.D. JUVENTUD TORREJON,1,63,https://www.rffm.es/fichajugador/10006394?temporada=19,2026-08-06T09:19:51.943000+00:00
10006394,2023-2024,19,17145446,SEGUNDA JUVENIL,17145457,Grupo 13,334223,A.D. JUVENTUD TORREJON 'C',A.D. JUVENTUD TORREJON,14,14,https://www.rffm.es/fichajugador/10006394?temporada=19,2026-08-06T09:19:51.943000+00:00
10006090,2023-2024,19,17145570,SEGUNDA INFANTIL,19704931,Grupo 45,846609,C.D. UNION DE ARAVACA 'A',C.D. UNION DE ARAVACA,2,63,https://www.rffm.es/fichajugador/10006090?temporada=19,2026-08-06T09:19:51.976814+00:00
10006135,2023-2024,19,17145488,PRIMERA CADETE,17145492,Grupo 4,2713253,S.A.D. A.D.C. PARQUE SURESTE 'C',S.A.D. A.D.C. PARQUE SURESTE,4,47,https://www.rffm.es/fichajugador/10006135?temporada=19,2026-08-06T09:19:52.049382+00:00
10006533,2023-2024,19,17145610,PRIMERA DIVISION AUTONOMICA ALEVIN,17145613,Grupo 3,34,CLUB ATLETICO DE MADRID S.A.D. 'C',CLUB ATLETICO DE MADRID S.A.D.,5,48,https://www.rffm.es/fichajugador/10006533?temporada=19,2026-08-06T09:19:52.129645+00:00
10006083,2023-2024,19,17145570,SEGUNDA INFANTIL,19704956,Grupo 46,17134616,AGRUPACION C.D. LUCERO LINCES 'C',AGRUPACION C.D. LUCERO LINCES,11,21,https://www.rffm.es/fichajugador/10006083?temporada=19,2026-08-06T09:19:52.163280+00:00
10006324,2023-2024,19,17145615,PREFERENTE ALEVIN,17145619,Grupo 4,1154,ESCUELA FUTBOL VICALVARO ,ESCUELA DE FUTBOL VICALVARO,2,64,https://www.rffm.es/fichajugador/10006324?temporada=19,2026-08-06T09:19:52.168144+00:00
10006411,2023-2024,19,17145488,PRIMERA CADETE,17145500,Grupo 12,6821605,COLEGIO EL PRADO 'A',COLEGIO EL PRADO,2,57,https://www.rffm.es/fichajugador/10006411?temporada=19,2026-08-06T09:19:52.656366+00:00
10006595,2023-2024,19,21412194,T. CAMPEONES PREFERENTE ALEVIN F-7 FASE FINAL,21412195,SEMIFINALES Y FINAL,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,0,0,https://www.rffm.es/fichajugador/10006595?temporada=19,2026-08-06T09:19:53.150679+00:00
10006595,2023-2024,19,21366866,TORNEO DE CAMPEONES PREFERENTE ALEVIN F-7,21394205,CUADRANGULAR 2,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,2,4,https://www.rffm.es/fichajugador/10006595?temporada=19,2026-08-06T09:19:53.150679+00:00
10006595,2023-2024,19,17145856,PREFERENTE ALEVIN F-7,17145862,GRUPO 6,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,1,76,https://www.rffm.es/fichajugador/10006595?temporada=19,2026-08-06T09:19:53.150679+00:00
