venue_id,venue_name,address,locality,province,postal_code,latitude,longitude,google_maps_url,field_type_raw,surface_raw,source_url,scraped_at
1219,BUITRAGO (HA),CALLE PEÑALTA 1,Buitrago Del Lozoya,Madrid,28730,40.9916421,-3.6409956,"https://www.google.com/maps?q=40.9916421,-3.6409956",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1219,2026-08-02T22:44:17.592994+00:00
122,RAMON GOMEZ SERNA (HA),CALLE RAMÓN GOMEZ DE LA SERNA S/N,Madrid,Madrid,28035,40.4818238,-3.7265092,"https://www.google.com/maps?q=40.4818238,-3.7265092",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/122,2026-08-02T22:44:17.934545+00:00
1220,LAS ROZAS - RECINTO FERIAL (HA),CALLE CASTILLO DE SIMANCAS 2,Las Rozas de Madrid,Madrid,28232,40.5100332,-3.8955439,"https://www.google.com/maps?q=40.5100332,-3.8955439",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1220,2026-08-02T22:44:17.763097+00:00
1221,POZUELO - COLEGIO RETAMAR (HA),CALLE PAJARES 22 - ENTRADA POR VIA DE SERVICIO DE M-502,Pozuelo De Alarcón,Madrid,28223,40.4261105,-3.8060975,"https://www.google.com/maps?q=40.4261105,-3.8060975",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1221,2026-08-02T22:44:18.437190+00:00
1222,POZUELO - PVO. EL PRADILLO (HA),CAMINO DE LAS HUERTAS S/N,Pozuelo De Alarcón,Madrid,28223,40.4428467,-3.813659999999999,"https://www.google.com/maps?q=40.4428467,-3.813659999999999",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1222,2026-08-02T22:44:18.151328+00:00
1223,MAJADAHONDA - ATLETICO DE MADRID C.D. (HB) ,CALLE CERRO DEL ESPINO S/N,Majadahonda,Madrid,28220,40.4615266,-3.8616329,"https://www.google.com/maps?q=40.4615266,-3.8616329",Fútbol 11,Hierba Natural,https://www.rffm.es/campo/1223,2026-08-02T22:44:18.441889+00:00
1224,MAJADAHONDA - ATLETICO DE MADRID C.D. (HA) CAMPO 3,CALLE CERRO DEL ESPINO S/N,Majadahonda,Madrid,28220,40.4615266,-3.8616329,"https://www.google.com/maps?q=40.4615266,-3.8616329",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1224,2026-08-02T22:44:18.266231+00:00
1225,MAJADAHONDA - ESTADIO ATLETICO DE MADRID C.D. (HB),CALLE CERRO DEL ESPINO S/N,Majadahonda,Madrid,28220,40.4615266,-3.8616329,"https://www.google.com/maps?q=40.4615266,-3.8616329",Fútbol 11,Hierba Natural,https://www.rffm.es/campo/1225,2026-08-02T22:44:18.880886+00:00
12278192,ALCALA - CIUDAD DPTVA. EL VAL 2 (HA),AVDA. VIRGEN DEL VAL S/N,Alcalá De Henares,Madrid,28804,40.4835144,-3.3466721,"https://www.google.com/maps?q=40.4835144,-3.3466721",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12278192,2026-08-02T22:44:18.949083+00:00
12278209,ARGANDA - CIUDAD DEL FUTBOL 2 (HA),CALLE MAR CANTÁBRICO 21 B,Arganda Del Rey,Madrid,28500,40.2924784,-3.4290005,"https://www.google.com/maps?q=40.2924784,-3.4290005",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12278209,2026-08-02T22:44:19.004414+00:00
