player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10262036,2022-2023,18,18,6,12,18,0,0.0,2,0,0,False,8,https://www.rffm.es/fichajugador/10262036?temporada=18,2026-08-07T08:33:24.446321+00:00
10262776,2022-2023,18,6,3,3,3,0,0.0,0,0,0,True,25,https://www.rffm.es/fichajugador/10262776?temporada=18,2026-08-07T08:33:24.729950+00:00
10262846,2022-2023,18,17,8,9,17,0,0.0,0,0,0,False,8,https://www.rffm.es/fichajugador/10262846?temporada=18,2026-08-07T08:33:24.753774+00:00
10262865,2022-2023,18,24,11,13,24,3,0.1,1,0,0,False,20,https://www.rffm.es/fichajugador/10262865?temporada=18,2026-08-07T08:33:24.849933+00:00
10263299,2022-2023,18,1,0,1,1,0,0.0,0,0,0,False,25,https://www.rffm.es/fichajugador/10263299?temporada=18,2026-08-07T08:33:25.197446+00:00
10262874,2022-2023,18,24,23,1,24,3,0.1,5,0,0,False,41,https://www.rffm.es/fichajugador/10262874?temporada=18,2026-08-07T08:33:25.202529+00:00
10263279,2022-2023,18,28,15,13,28,15,0.5,3,0,0,False,22,https://www.rffm.es/fichajugador/10263279?temporada=18,2026-08-07T08:33:25.485126+00:00
10263061,2022-2023,18,20,18,2,20,4,0.2,1,0,0,False,9,https://www.rffm.es/fichajugador/10263061?temporada=18,2026-08-07T08:33:25.551272+00:00
10263559,2022-2023,18,21,6,15,21,1,0.0,0,0,0,False,9,https://www.rffm.es/fichajugador/10263559?temporada=18,2026-08-07T08:33:25.749090+00:00
10264019,2022-2023,18,15,13,2,15,2,0.1,0,0,0,True,16,https://www.rffm.es/fichajugador/10264019?temporada=18,2026-08-07T08:33:26.477829+00:00
10264157,2022-2023,18,22,14,8,22,0,0.0,0,0,0,True,1,https://www.rffm.es/fichajugador/10264157?temporada=18,2026-08-07T08:33:26.573116+00:00
102669,2022-2023,18,24,18,6,22,8,0.3,6,0,0,False,9,https://www.rffm.es/fichajugador/102669?temporada=18,2026-08-07T08:33:26.643361+00:00
102650,2022-2023,18,27,19,8,24,1,0.0,5,0,0,False,2,https://www.rffm.es/fichajugador/102650?temporada=18,2026-08-07T08:33:26.681765+00:00
10263960,2022-2023,18,1,1,0,1,0,0.0,0,0,0,False,80,https://www.rffm.es/fichajugador/10263960?temporada=18,2026-08-07T08:33:26.698691+00:00
10266287,2022-2023,18,18,18,0,18,1,0.1,0,0,0,False,11,https://www.rffm.es/fichajugador/10266287?temporada=18,2026-08-07T08:33:26.731804+00:00
102671,2022-2023,18,25,9,16,20,1,0.0,4,0,0,False,4,https://www.rffm.es/fichajugador/102671?temporada=18,2026-08-07T08:33:27.052165+00:00
10263873,2022-2023,18,14,3,11,12,0,0.0,0,0,0,False,79,https://www.rffm.es/fichajugador/10263873?temporada=18,2026-08-07T08:33:27.203053+00:00
102688,2022-2023,18,1,0,1,1,0,0.0,0,0,0,False,20,https://www.rffm.es/fichajugador/102688?temporada=18,2026-08-07T08:33:27.319799+00:00
10267906,2022-2023,18,11,11,0,11,1,0.1,0,0,0,False,27,https://www.rffm.es/fichajugador/10267906?temporada=18,2026-08-07T08:33:27.482301+00:00
10268274,2022-2023,18,24,21,3,24,2,0.1,6,0,0,False,33,https://www.rffm.es/fichajugador/10268274?temporada=18,2026-08-07T08:33:27.831768+00:00
